id,date,time,home_team,away_team,1,X,2
KAfwDBvN,28.12.,15:00,AC Ajaccio,Angers,2.05,3.41,3.63
hOEGQU8M,28.12.,15:00,Troyes,Nantes,2.63,3.43,2.58
b1gsCVgT,28.12.,17:00,Auxerre,Monaco,4.92,4.1,1.64
veyA7k2p,28.12.,19:00,Clermont,Lilla,4.42,3.54,1.81
67G8SjvA,28.12.,21:00,Brest,Lione,3.46,3.59,2.03
SGH4TWO3,28.12.,21:00,Paris SG,Strasburgo,1.2,7.02,12.38
IozE69Hj,29.12.,17:00,Lorient,Montpellier,1.99,3.59,3.53
EXFCRAgG,29.12.,19:00,Reims,Rennes,3.27,3.33,2.2
phSaUC9c,29.12.,21:00,Marsiglia,Tolosa,1.5,4.49,5.96
WlOeVhfi,29.12.,21:00,Nizza,Lens,3.15,2.99,2.46
