id,date,time,home_team,away_team,1,X,2
nk4pp0O2,04.01.,12:30,Salernitana,Milan,6.39,4.37,1.48
Qu3lqKw9,04.01.,12:30,Sassuolo,Sampdoria,1.75,3.73,4.54
84hgrvgF,04.01.,14:30,Spezia,Atalanta,4.65,3.91,1.69
Kvdcsb8L,04.01.,14:30,Torino,Verona,1.84,3.52,4.33
KrCbMdWe,04.01.,16:30,Lecce,Lazio,3.58,3.31,2.09
bZA2LGo2,04.01.,16:30,Roma,Bologna,1.61,3.82,5.61
6yWNSbgS,04.01.,18:30,Cremonese,Juventus,5.22,3.77,1.65
OGIkOI1q,04.01.,18:30,Fiorentina,Monza,1.72,3.77,4.7
xKMgNxHk,04.01.,20:45,Inter,Napoli,2.24,3.35,3.18
E1e1tINR,04.01.,20:45,Udinese,Empoli,1.61,3.8,5.64
